

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             15      0.16E-02  0.13E+01  0.60E-04  0.97E+00
             16      0.15E-02  0.13E+01  0.60E-04  0.97E+00
             17      0.15E-02  0.12E+01  0.59E-04  0.97E+00
             18      0.15E-02  0.12E+01  0.59E-04  0.97E+00
             19      0.15E-02  0.12E+01  0.58E-04  0.97E+00
             20      0.15E-02  0.12E+01  0.58E-04  0.97E+00

     Power:  0.11618E+07


                         Increment number   6
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.50E-03  0.13E+01  0.49E-04  0.99E+00

     Power:  0.13942E+07


                         Increment number   7
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.75E-03  0.27E+01  0.26E-04  0.99E+00

     Power:  0.16267E+07


                         Increment number   8
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.17E-02  0.31E+01  0.32E-04  0.97E+00
              2      0.17E-02  0.15E+01  0.47E-04  0.97E+00
              3      0.17E-02  0.15E+01  0.39E-04  0.97E+00
              4      0.17E-02  0.14E+01  0.38E-04  0.97E+00
              5      0.16E-02  0.14E+01  0.37E-04  0.97E+00
              6      0.16E-02  0.14E+01  0.36E-04  0.97E+00
              7      0.16E-02  0.14E+01  0.35E-04  0.97E+00
              8      0.16E-02  0.14E+01  0.34E-04  0.97E+00
              9      0.15E-02  0.13E+01  0.33E-04  0.97E+00
             10      0.15E-02  0.13E+01  0.33E-04  0.97E+00
             11      0.15E-02  0.13E+01  0.32E-04  0.97E+00
             12      0.15E-02  0.13E+01  0.31E-04  0.97E+00
             13      0.14E-02  0.13E+01  0.31E-04  0.97E+00
             14      0.14E-02  0.12E+01  0.30E-04  0.97E+00
             15      0.14E-02  0.12E+01  0.30E-04  0.97E+00
             16      0.14E-02  0.12E+01  0.29E-04  0.97E+00
             17      0.14E-02  0.12E+01  0.29E-04  0.97E+00
             18      0.13E-02  0.12E+01  0.28E-04  0.97E+00
             19      0.13E-02  0.12E+01  0.28E-04  0.97E+00
             20      0.13E-02  0.11E+01  0.27E-04  0.97E+00

     Power:  0.18592E+07


                         Increment number   9
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.19E-02  0.21E+01  0.25E-04  0.96E+00
              2      0.19E-02  0.16E+01  0.37E-04  0.96E+00
