

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             15      0.18E-01  0.11E-01  0.29E-03  0.74E+00
             16      0.17E-01  0.10E-01  0.32E-03  0.75E+00
             17      0.16E-01  0.93E-02  0.38E-03  0.76E+00
             18      0.15E-01  0.87E-02  0.40E-03  0.77E+00
             19      0.14E-01  0.81E-02  0.39E-03  0.78E+00
             20      0.13E-01  0.76E-02  0.39E-03  0.79E+00

     Power:   27.935    


                         Increment number   6
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.26E-01  0.15E-01  0.38E-03  0.66E+00
              2      0.25E-01  0.14E-01  0.39E-03  0.67E+00
              3      0.23E-01  0.13E-01  0.38E-03  0.68E+00
              4      0.22E-01  0.12E-01  0.37E-03  0.69E+00
              5      0.21E-01  0.11E-01  0.36E-03  0.70E+00
              6      0.20E-01  0.11E-01  0.36E-03  0.71E+00
              7      0.19E-01  0.10E-01  0.36E-03  0.72E+00
              8      0.18E-01  0.95E-02  0.38E-03  0.73E+00
              9      0.17E-01  0.89E-02  0.41E-03  0.74E+00
             10      0.16E-01  0.83E-02  0.41E-03  0.76E+00
             11      0.15E-01  0.77E-02  0.39E-03  0.77E+00
             12      0.14E-01  0.72E-02  0.36E-03  0.78E+00
             13      0.14E-01  0.67E-02  0.33E-03  0.79E+00
             14      0.13E-01  0.63E-02  0.31E-03  0.80E+00
             15      0.12E-01  0.58E-02  0.28E-03  0.81E+00
             16      0.11E-01  0.54E-02  0.26E-03  0.82E+00
             17      0.10E-01  0.50E-02  0.25E-03  0.83E+00
             18      0.98E-02  0.47E-02  0.23E-03  0.84E+00
             19      0.91E-02  0.43E-02  0.22E-03  0.85E+00
             20      0.85E-02  0.40E-02  0.21E-03  0.85E+00

     Power:   33.156    


                         Increment number   7
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.16E-02  0.82E-03  0.20E-03  0.97E+00
              2      0.15E-02  0.67E-03  0.31E-03  0.97E+00
              3      0.14E-02  0.63E-03  0.28E-03  0.97E+00
              4      0.13E-02  0.59E-03  0.26E-03  0.97E+00
              5      0.13E-02  0.56E-03  0.24E-03  0.98E+00
              6      0.12E-02  0.53E-03  0.22E-03  0.98E+00
              7      0.11E-02  0.50E-03  0.20E-03  0.98E+00
              8      0.11E-02  0.48E-03  0.19E-03  0.98E+00
              9      0.10E-02  0.46E-03  0.17E-03  0.98E+00
             10      0.10E-02  0.44E-03  0.16E-03  0.98E+00
             11      0.97E-03  0.42E-03  0.15E-03  0.98E+00

     Power:   39.285    


                         Increment number   8
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.83E-02  0.39E-02  0.12E-03  0.86E+00
              2      0.76E-02  0.36E-02  0.19E-03  0.87E+00
              3      0.70E-02  0.33E-02  0.20E-03  0.88E+00
              4      0.65E-02  0.31E-02  0.21E-03  0.89E+00
              5      0.60E-02  0.28E-02  0.21E-03  0.89E+00
              6      0.55E-02  0.26E-02  0.23E-03  0.90E+00
              7      0.50E-02  0.24E-02  0.24E-03  0.91E+00
              8      0.46E-02  0.22E-02  0.26E-03  0.92E+00
              9      0.43E-02  0.21E-02  0.29E-03  0.92E+00
             10      0.39E-02  0.19E-02  0.33E-03  0.93E+00
             11      0.36E-02  0.18E-02  0.38E-03  0.93E+00
             12      0.33E-02  0.16E-02  0.42E-03  0.94E+00
             13      0.31E-02  0.15E-02  0.50E-03  0.94E+00
             14      0.28E-02  0.14E-02  0.59E-03  0.95E+00
             15      0.26E-02  0.13E-02  0.57E-03  0.95E+00
             16      0.24E-02  0.12E-02  0.53E-03  0.95E+00
             17      0.22E-02  0.11E-02  0.49E-03  0.96E+00
             18      0.21E-02  0.10E-02  0.45E-03  0.96E+00
             19      0.19E-02  0.93E-03  0.41E-03  0.96E+00
             20      0.18E-02  0.86E-03  0.38E-03  0.97E+00

     Power:   45.259    


                         Increment number   9
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.33E-02  0.17E-02  0.31E-03  0.94E+00
              2      0.31E-02  0.15E-02  0.56E-03  0.94E+00
              3      0.28E-02  0.14E-02  0.53E-03  0.95E+00
              4      0.26E-02  0.13E-02  0.51E-03  0.95E+00
              5      0.24E-02  0.12E-02  0.47E-03  0.95E+00
              6      0.22E-02  0.11E-02  0.43E-03  0.96E+00
              7      0.21E-02  0.10E-02  0.40E-03  0.96E+00
              8      0.19E-02  0.95E-03  0.37E-03  0.96E+00
              9      0.18E-02  0.88E-03  0.34E-03  0.97E+00
             10      0.17E-02  0.82E-03  0.31E-03  0.97E+00
             11      0.16E-02  0.77E-03  0.29E-03  0.97E+00
             12      0.15E-02  0.72E-03  0.26E-03  0.97E+00
             13      0.14E-02  0.67E-03  0.24E-03  0.97E+00
             14      0.13E-02  0.63E-03  0.22E-03  0.97E+00
             15      0.12E-02  0.60E-03  0.21E-03  0.98E+00
             16      0.12E-02  0.57E-03  0.19E-03  0.98E+00
             17      0.11E-02  0.54E-03  0.18E-03  0.98E+00
             18      0.11E-02  0.51E-03  0.16E-03  0.98E+00
             19      0.10E-02  0.49E-03  0.15E-03  0.98E+00
             20      0.99E-03  0.47E-03  0.14E-03  0.98E+00

     Power:   51.215    


                         Increment number  10
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.98E-03  0.64E-03  0.11E-03  0.98E+00

     Power:   57.184    


                         Increment number  11
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.17E-02  0.12E-02  0.11E-03  0.97E+00
              2      0.16E-02  0.81E-03  0.25E-03  0.97E+00
              3      0.15E-02  0.76E-03  0.22E-03  0.97E+00
              4      0.14E-02  0.71E-03  0.20E-03  0.97E+00
              5      0.14E-02  0.67E-03  0.19E-03  0.97E+00
              6      0.13E-02  0.64E-03  0.17E-03  0.97E+00
              7      0.12E-02  0.61E-03  0.16E-03  0.98E+00
              8      0.12E-02  0.58E-03  0.15E-03  0.98E+00
              9      0.12E-02  0.56E-03  0.14E-03  0.98E+00
             10      0.11E-02  0.54E-03  0.13E-03  0.98E+00
             11      0.11E-02  0.52E-03  0.12E-03  0.98E+00
             12      0.11E-02  0.51E-03  0.11E-03  0.98E+00
             13      0.10E-02  0.49E-03  0.99E-04  0.98E+00
             14      0.10E-02  0.48E-03  0.92E-04  0.98E+00
