""
"Test Method","MTS EM Tension.msm"
"Sample I. D.","DIC.mss"
"Specimen Number","7"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

26.472,2.000,0.032,9.729,0.001
65.575,3.000,0.035,24.100,0.001
96.512,4.000,0.038,35.471,0.001
125.956,5.000,0.041,46.292,0.001
166.280,6.000,0.045,61.112,0.001
196.749,7.000,0.048,72.310,0.001
223.442,8.000,0.051,82.121,0.001
247.669,9.000,0.054,91.025,0.001
282.874,10.000,0.059,103.963,0.001
302.549,11.000,0.062,111.194,0.001
322.545,12.000,0.065,118.543,0.001
341.788,13.000,0.068,125.616,0.001
357.281,14.000,0.072,131.310,0.001
364.707,15.000,0.075,134.039,0.001
373.169,16.000,0.078,137.149,0.002
389.550,17.000,0.082,143.170,0.002
395.089,18.000,0.085,145.205,0.002
403.477,19.000,0.088,148.288,0.002
416.737,20.000,0.091,153.162,0.002
426.162,21.000,0.096,156.625,0.002
433.847,22.000,0.098,159.450,0.002
443.357,23.000,0.101,162.945,0.002
452.313,24.000,0.105,166.236,0.002
461.934,25.000,0.109,169.773,0.002
469.434,26.000,0.112,172.529,0.002
475.133,27.000,0.114,174.623,0.002
486.679,28.000,0.118,178.867,0.002
491.921,29.000,0.122,180.794,0.002
498.101,30.000,0.125,183.065,0.002
505.799,31.000,0.128,185.894,0.003
515.001,32.000,0.132,189.276,0.003
517.270,33.000,0.135,190.110,0.003
524.869,34.000,0.138,192.903,0.003
532.295,35.000,0.141,195.632,0.003
541.571,36.000,0.145,199.041,0.003
546.678,37.000,0.148,200.918,0.003
554.499,38.000,0.151,203.792,0.003
565.378,39.000,0.155,207.791,0.003
571.595,40.000,0.159,210.076,0.003
579.465,41.000,0.162,212.968,0.003
588.470,42.000,0.165,216.278,0.003
600.090,43.000,0.169,220.548,0.003
606.665,44.000,0.172,222.965,0.003
613.560,45.000,0.175,225.499,0.003
625.550,46.000,0.178,229.906,0.004
633.839,47.000,0.182,232.952,0.004
642.178,48.000,0.185,236.017,0.004
650.899,49.000,0.188,239.222,0.004
663.469,50.000,0.192,243.842,0.004
671.487,51.000,0.195,246.789,0.004
681.183,52.000,0.198,250.352,0.004
690.533,53.000,0.201,253.788,0.004
704.447,54.000,0.205,258.902,0.004
711.231,55.000,0.208,261.396,0.004
720.360,56.000,0.211,264.750,0.004
732.510,57.000,0.215,269.216,0.004
744.512,58.000,0.219,273.627,0.004
751.889,59.000,0.221,276.338,0.004
761.017,60.000,0.224,279.693,0.004
775.733,61.000,0.228,285.102,0.004
783.788,62.000,0.232,288.062,0.005
792.793,63.000,0.235,291.372,0.005
801.403,64.000,0.238,294.536,0.005
815.317,65.000,0.242,299.650,0.005
821.534,66.000,0.245,301.935,0.005
829.873,67.000,0.248,304.999,0.005
844.244,68.000,0.251,310.281,0.005
851.546,69.000,0.255,312.965,0.005
860.440,70.000,0.258,316.234,0.005
868.063,71.000,0.261,319.035,0.005
882.199,72.000,0.265,324.231,0.005
889.897,73.000,0.268,327.060,0.005
898.013,74.000,0.271,330.043,0.005
909.683,75.000,0.274,334.331,0.005
925.768,76.000,0.278,340.243,0.005
936.549,77.000,0.281,344.206,0.006
943.938,78.000,0.284,346.921,0.006
959.308,79.000,0.288,352.570,0.006
968.744,80.000,0.292,356.038,0.006
977.996,81.000,0.295,359.438,0.006
986.310,82.000,0.298,362.494,0.006
1003.949,83.000,0.302,368.977,0.006
1009.451,84.000,0.305,370.999,0.006
1018.924,85.000,0.308,374.481,0.006
1030.298,86.000,0.311,378.661,0.006
1042.485,87.000,0.315,383.140,0.006
1050.305,88.000,0.318,386.014,0.006
1055.634,89.000,0.321,387.972,0.006
1070.585,90.000,0.325,393.467,0.006
1082.291,91.000,0.328,397.770,0.006
1089.322,92.000,0.331,400.354,0.007
1097.106,93.000,0.334,403.214,0.007
1113.018,94.000,0.338,409.063,0.007
1118.902,95.000,0.341,411.225,0.007
1127.031,96.000,0.344,414.213,0.007
1137.418,97.000,0.347,418.030,0.007
1150.863,98.000,0.352,422.972,0.007
1156.143,99.000,0.355,424.912,0.007
1164.124,100.000,0.357,427.845,0.007
1177.236,101.000,0.361,432.664,0.007
1186.808,102.000,0.365,436.182,0.007
1195.122,103.000,0.368,439.238,0.007
1201.833,104.000,0.371,441.704,0.007
1217.005,105.000,0.375,447.280,0.007
1221.816,106.000,0.378,449.049,0.007
1230.710,107.000,0.381,452.317,0.008
1240.122,108.000,0.384,455.776,0.008
1251.865,109.000,0.388,460.092,0.008
1256.552,110.000,0.391,461.815,0.008
1265.187,111.000,0.394,464.989,0.008
1278.361,112.000,0.398,469.830,0.008
1285.985,113.000,0.402,472.632,0.008
1291.733,114.000,0.404,474.745,0.008
1300.590,115.000,0.407,478.000,0.008
1313.517,116.000,0.411,482.751,0.008
1321.498,117.000,0.415,485.684,0.008
1325.902,118.000,0.418,487.303,0.008
1336.806,119.000,0.421,491.310,0.008
1347.711,120.000,0.425,495.318,0.008
1352.818,121.000,0.428,497.195,0.008
1358.899,122.000,0.431,499.430,0.008
1371.666,123.000,0.434,504.122,0.009
1379.783,124.000,0.438,507.105,0.009
1385.161,125.000,0.441,509.082,0.009
1392.833,126.000,0.444,511.902,0.009
1407.118,127.000,0.448,517.152,0.009
1412.755,128.000,0.451,519.223,0.009
1417.553,129.000,0.454,520.987,0.009
1428.828,130.000,0.458,525.131,0.009
1440.978,131.000,0.462,529.596,0.009
1443.803,132.000,0.465,530.634,0.009
1450.008,133.000,0.467,532.915,0.009
1463.737,134.000,0.471,537.961,0.009
1468.400,135.000,0.475,539.674,0.009
1475.468,136.000,0.478,542.272,0.009
1481.660,137.000,0.481,544.548,0.009
1496.722,138.000,0.485,550.083,0.010
1501.384,139.000,0.488,551.797,0.010
1508.218,140.000,0.491,554.309,0.010
1514.966,141.000,0.494,556.788,0.010
1529.534,142.000,0.498,562.143,0.010
1532.272,143.000,0.501,563.149,0.010
1539.377,144.000,0.504,565.760,0.010
1552.576,145.000,0.508,570.611,0.010
1561.828,146.000,0.511,574.011,0.010
1566.885,147.000,0.514,575.870,0.010
1575.421,148.000,0.517,579.007,0.010
1589.755,149.000,0.522,584.275,0.010
1597.033,150.000,0.525,586.950,0.010
1605.396,151.000,0.528,590.024,0.010
1614.993,152.000,0.531,593.551,0.010
1630.141,153.000,0.535,599.118,0.011
1634.137,154.000,0.538,600.587,0.011
1641.465,155.000,0.541,603.280,0.011
1656.094,156.000,0.545,608.657,0.011
1664.334,157.000,0.548,611.685,0.011
1672.488,158.000,0.551,614.682,0.011
1680.444,159.000,0.554,617.606,0.011
1696.900,160.000,0.558,623.654,0.011
1704.128,161.000,0.561,626.311,0.011
1710.567,162.000,0.564,628.677,0.011
1724.087,163.000,0.567,633.646,0.011
1738.470,164.000,0.571,638.932,0.011
1746.142,165.000,0.574,641.752,0.011
1758.823,166.000,0.577,646.412,0.011
1780.336,167.000,0.581,654.319,0.011
1795.360,168.000,0.585,659.841,0.012
1808.954,169.000,0.588,664.837,0.012
1822.400,170.000,0.591,669.778,0.012
1845.442,171.000,0.595,678.247,0.012
1854.693,172.000,0.598,681.647,0.012
1866.733,173.000,0.601,686.072,0.012
1884.397,174.000,0.604,692.564,0.012
1903.147,175.000,0.608,699.455,0.012
1914.249,176.000,0.611,703.535,0.012
1924.290,177.000,0.614,707.225,0.012
1945.605,178.000,0.618,715.059,0.012
1957.077,179.000,0.621,719.276,0.012
1967.241,180.000,0.624,723.011,0.012
1979.478,181.000,0.627,727.508,0.012
1997.710,182.000,0.631,734.209,0.012
2004.568,183.000,0.634,736.730,0.012
2014.708,184.000,0.637,740.456,0.013
2025.957,185.000,0.641,744.591,0.013
2042.561,186.000,0.645,750.693,0.013
2049.025,187.000,0.648,753.069,0.013
2058.029,188.000,0.650,756.378,0.013
2074.756,189.000,0.654,762.526,0.013
2085.068,190.000,0.658,766.316,0.013
2092.938,191.000,0.661,769.208,0.013
2102.634,192.000,0.664,772.771,0.013
2120.619,193.000,0.668,779.381,0.013
2124.912,194.000,0.671,780.959,0.013
2134.953,195.000,0.674,784.649,0.013
2147.017,196.000,0.678,789.083,0.013
2161.005,197.000,0.682,794.224,0.013
2166.284,198.000,0.684,796.165,0.013
2173.982,199.000,0.687,798.994,0.014
2189.919,200.000,0.691,804.851,0.014
2198.726,201.000,0.695,808.088,0.014
2204.499,202.000,0.698,810.210,0.014
2214.195,203.000,0.701,813.773,0.014
2228.084,204.000,0.705,818.878,0.014
2234.449,205.000,0.708,821.217,0.014
2241.419,206.000,0.711,823.779,0.014
2253.101,207.000,0.714,828.072,0.014
2265.214,208.000,0.718,832.524,0.014
2267.952,209.000,0.721,833.530,0.014
2276.636,210.000,0.724,836.722,0.014
2289.848,211.000,0.728,841.577,0.014
2297.113,212.000,0.731,844.248,0.014
2299.728,213.000,0.734,845.209,0.014
2309.029,214.000,0.737,848.627,0.015
2321.290,215.000,0.742,853.133,0.015
2324.152,216.000,0.745,854.185,0.015
2328.371,217.000,0.747,855.736,0.015
2339.300,218.000,0.751,859.752,0.015
2344.037,219.000,0.755,861.493,0.015
2348.403,220.000,0.758,863.098,0.015
2351.611,221.000,0.761,864.277,0.015
2364.168,222.000,0.765,868.892,0.015
2363.699,223.000,0.768,868.720,0.015
2367.696,224.000,0.771,870.189,0.015
2372.297,225.000,0.774,871.880,0.015
2378.650,226.000,0.778,874.214,0.015
2378.576,227.000,0.781,874.187,0.015
2383.016,228.000,0.784,875.819,0.015
2388.715,229.000,0.787,877.914,0.015
2392.490,230.000,0.791,879.301,0.016
