""
"Test Method","MTS EM Tension.msm"
"Sample I. D.","DIC.mss"
"Specimen Number","6"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

40.509,2.000,-0.081,12.134,-0.002
74.530,3.000,-0.078,22.325,-0.002
110.426,4.000,-0.075,33.078,-0.001
155.869,5.000,-0.071,46.690,-0.001
199.018,6.000,-0.068,59.615,-0.001
232.965,7.000,-0.065,69.784,-0.001
265.000,8.000,-0.062,79.379,-0.001
308.791,9.000,-0.058,92.497,-0.001
331.081,10.000,-0.055,99.173,-0.001
346.993,11.000,-0.052,103.940,-0.001
360.760,12.000,-0.049,108.064,-0.001
376.944,13.000,-0.044,112.911,-0.001
384.345,14.000,-0.041,115.128,-0.001
394.460,15.000,-0.039,118.158,-0.001
409.953,16.000,-0.035,122.799,-0.001
419.673,17.000,-0.031,125.711,-0.001
427.444,18.000,-0.028,128.039,-0.001
437.436,19.000,-0.025,131.032,-0.000
452.288,20.000,-0.021,135.480,-0.000
460.528,21.000,-0.018,137.949,-0.000
468.879,22.000,-0.015,140.450,-0.000
480.807,23.000,-0.012,144.023,-0.000
492.427,24.000,-0.008,147.504,-0.000
497.953,25.000,-0.005,149.159,-0.000
508.537,26.000,-0.002,152.330,-0.000
519.688,27.000,0.002,155.670,0.000
526.127,28.000,0.006,157.599,0.000
534.145,29.000,0.009,160.000,0.000
542.657,30.000,0.012,162.550,0.000
555.855,31.000,0.016,166.504,0.000
560.321,32.000,0.019,167.841,0.000
567.697,33.000,0.022,170.051,0.000
579.071,34.000,0.025,173.458,0.000
590.074,35.000,0.029,176.753,0.001
597.105,36.000,0.032,178.860,0.001
603.865,37.000,0.035,180.884,0.001
615.336,38.000,0.038,184.321,0.001
623.404,39.000,0.042,186.737,0.001
631.779,40.000,0.045,189.246,0.001
639.119,41.000,0.048,191.445,0.001
653.231,42.000,0.052,195.672,0.001
658.263,43.000,0.055,197.179,0.001
667.663,44.000,0.058,199.995,0.001
678.222,45.000,0.062,203.158,0.001
688.386,46.000,0.066,206.202,0.001
695.257,47.000,0.069,208.261,0.001
702.350,48.000,0.072,210.385,0.001
714.537,49.000,0.075,214.036,0.001
722.321,50.000,0.079,216.367,0.002
729.734,51.000,0.082,218.588,0.002
737.580,52.000,0.085,220.938,0.002
751.346,53.000,0.089,225.062,0.002
757.218,54.000,0.092,226.821,0.002
764.619,55.000,0.095,229.038,0.002
776.239,56.000,0.098,232.518,0.002
788.192,57.000,0.102,236.099,0.002
794.396,58.000,0.105,237.957,0.002
804.314,59.000,0.108,240.928,0.002
816.748,60.000,0.112,244.653,0.002
828.911,61.000,0.115,248.296,0.002
835.917,62.000,0.118,250.395,0.002
846.476,63.000,0.121,253.557,0.002
858.145,64.000,0.125,257.053,0.002
865.374,65.000,0.129,259.218,0.003
873.022,66.000,0.132,261.509,0.003
884.272,67.000,0.135,264.879,0.003
895.226,68.000,0.139,268.160,0.003
900.974,69.000,0.142,269.882,0.003
907.758,70.000,0.145,271.914,0.003
922.215,71.000,0.149,276.245,0.003
928.876,72.000,0.152,278.240,0.003
934.082,73.000,0.155,279.799,0.003
945.837,74.000,0.158,283.321,0.003
957.815,75.000,0.162,286.908,0.003
963.045,76.000,0.165,288.475,0.003
971.088,77.000,0.168,290.884,0.003
981.721,78.000,0.171,294.069,0.003
995.080,79.000,0.175,298.071,0.003
1004.171,80.000,0.178,300.794,0.004
1012.831,81.000,0.181,303.388,0.004
1030.939,82.000,0.185,308.812,0.004
1040.462,83.000,0.189,311.665,0.004
