""
"Test Method","MTS EM Tension.msm"
"Sample I. D.","DIC.mss"
"Specimen Number","2"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

33.429,2.000,-0.126,11.218,-0.002
71.002,3.000,-0.122,23.827,-0.002
117.581,4.000,-0.118,39.458,-0.002
149.036,5.000,-0.116,50.014,-0.002
182.686,6.000,-0.113,61.306,-0.002
225.465,7.000,-0.109,75.662,-0.002
266.073,8.000,-0.105,89.289,-0.002
297.874,9.000,-0.102,99.961,-0.002
328.059,10.000,-0.099,110.090,-0.002
360.686,11.000,-0.095,121.039,-0.002
367.939,12.000,-0.092,123.474,-0.002
375.981,13.000,-0.089,126.172,-0.002
388.206,14.000,-0.086,130.275,-0.002
397.322,15.000,-0.082,133.334,-0.002
403.218,16.000,-0.079,135.313,-0.002
410.767,17.000,-0.076,137.846,-0.001
423.324,18.000,-0.072,142.060,-0.001
429.467,19.000,-0.069,144.121,-0.001
436.708,20.000,-0.066,146.551,-0.001
444.615,21.000,-0.063,149.205,-0.001
455.224,22.000,-0.059,152.765,-0.001
459.122,23.000,-0.056,154.073,-0.001
465.018,24.000,-0.053,156.052,-0.001
475.663,25.000,-0.049,159.624,-0.001
481.843,26.000,-0.045,161.698,-0.001
486.148,27.000,-0.042,163.143,-0.001
492.797,28.000,-0.039,165.374,-0.001
502.641,29.000,-0.035,168.677,-0.001
506.144,30.000,-0.032,169.853,-0.001
513.854,31.000,-0.029,172.440,-0.001
520.280,32.000,-0.026,174.597,-0.001
528.002,33.000,-0.022,177.188,-0.000
531.382,34.000,-0.019,178.322,-0.000
535.773,35.000,-0.016,179.796,-0.000
543.989,36.000,-0.012,182.553,-0.000
549.749,37.000,-0.009,184.486,-0.000
554.536,38.000,-0.006,186.092,-0.000
558.767,39.000,-0.003,187.512,-0.000
568.437,40.000,0.001,190.757,0.000
571.361,41.000,0.005,191.738,0.000
577.245,42.000,0.007,193.713,0.000
580.970,43.000,0.010,194.963,0.000
589.876,44.000,0.015,197.952,0.000
592.541,45.000,0.018,198.846,0.000
597.857,46.000,0.021,200.630,0.000
604.531,47.000,0.024,202.869,0.000
610.945,48.000,0.028,205.022,0.001
614.473,49.000,0.031,206.206,0.001
618.679,50.000,0.034,207.617,0.001
628.116,51.000,0.038,210.784,0.001
631.891,52.000,0.041,212.051,0.001
636.775,53.000,0.044,213.690,0.001
642.906,54.000,0.047,215.747,0.001
651.898,55.000,0.052,218.765,0.001
654.674,56.000,0.054,219.697,0.001
658.757,57.000,0.057,221.067,0.001
667.737,58.000,0.061,224.080,0.001
673.041,59.000,0.065,225.860,0.001
675.977,60.000,0.067,226.846,0.001
681.010,61.000,0.070,228.534,0.001
689.275,62.000,0.074,231.308,0.001
693.419,63.000,0.078,232.699,0.002
696.959,64.000,0.081,233.887,0.002
702.942,65.000,0.083,235.895,0.002
710.652,66.000,0.088,238.482,0.002
713.711,67.000,0.091,239.508,0.002
717.646,68.000,0.094,240.829,0.002
725.306,69.000,0.097,243.399,0.002
731.955,70.000,0.101,245.631,0.002
734.274,71.000,0.104,246.409,0.002
738.850,72.000,0.107,247.945,0.002
749.619,73.000,0.111,251.558,0.002
