

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             15      0.10E-01  0.57E+01  0.32E-03  0.83E+00
             16      0.94E-02  0.52E+01  0.29E-03  0.84E+00
             17      0.86E-02  0.48E+01  0.27E-03  0.85E+00
             18      0.79E-02  0.43E+01  0.24E-03  0.86E+00
             19      0.72E-02  0.39E+01  0.23E-03  0.87E+00
             20      0.66E-02  0.36E+01  0.21E-03  0.88E+00

     Power:  0.81063E+06


                         Increment number   6
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.78E-02  0.43E+01  0.19E-03  0.86E+00
              2      0.72E-02  0.39E+01  0.21E-03  0.87E+00
              3      0.66E-02  0.35E+01  0.21E-03  0.88E+00
              4      0.60E-02  0.32E+01  0.20E-03  0.89E+00
              5      0.55E-02  0.29E+01  0.20E-03  0.90E+00
              6      0.50E-02  0.26E+01  0.21E-03  0.91E+00
              7      0.45E-02  0.24E+01  0.21E-03  0.92E+00
              8      0.41E-02  0.22E+01  0.22E-03  0.92E+00
              9      0.38E-02  0.19E+01  0.23E-03  0.93E+00
             10      0.34E-02  0.18E+01  0.25E-03  0.94E+00
             11      0.31E-02  0.16E+01  0.32E-03  0.94E+00
             12      0.28E-02  0.15E+01  0.38E-03  0.95E+00
             13      0.26E-02  0.13E+01  0.46E-03  0.95E+00
             14      0.24E-02  0.12E+01  0.53E-03  0.95E+00
             15      0.22E-02  0.11E+01  0.54E-03  0.96E+00
             16      0.20E-02  0.99E+00  0.51E-03  0.96E+00
             17      0.18E-02  0.91E+00  0.48E-03  0.96E+00
             18      0.17E-02  0.83E+00  0.44E-03  0.97E+00
             19      0.16E-02  0.76E+00  0.39E-03  0.97E+00
             20      0.15E-02  0.70E+00  0.35E-03  0.97E+00

     Power:  0.97562E+06


                         Increment number   7
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.49E-02  0.25E+01  0.27E-03  0.91E+00
              2      0.44E-02  0.22E+01  0.24E-03  0.92E+00
              3      0.40E-02  0.20E+01  0.28E-03  0.93E+00
              4      0.36E-02  0.18E+01  0.31E-03  0.93E+00
              5      0.33E-02  0.17E+01  0.35E-03  0.94E+00
              6      0.30E-02  0.15E+01  0.43E-03  0.94E+00
              7      0.27E-02  0.14E+01  0.55E-03  0.95E+00
              8      0.24E-02  0.12E+01  0.59E-03  0.95E+00
              9      0.22E-02  0.11E+01  0.54E-03  0.96E+00
             10      0.20E-02  0.10E+01  0.49E-03  0.96E+00
             11      0.19E-02  0.94E+00  0.44E-03  0.96E+00
             12      0.17E-02  0.86E+00  0.40E-03  0.97E+00
             13      0.16E-02  0.79E+00  0.36E-03  0.97E+00
             14      0.15E-02  0.73E+00  0.32E-03  0.97E+00
             15      0.14E-02  0.67E+00  0.29E-03  0.97E+00
             16      0.13E-02  0.63E+00  0.26E-03  0.97E+00
             17      0.12E-02  0.59E+00  0.24E-03  0.98E+00
             18      0.12E-02  0.55E+00  0.21E-03  0.98E+00
             19      0.11E-02  0.52E+00  0.19E-03  0.98E+00
             20      0.11E-02  0.50E+00  0.18E-03  0.98E+00

     Power:  0.11417E+07


                         Increment number   8
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.25E-02  0.13E+01  0.14E-03  0.95E+00
              2      0.22E-02  0.11E+01  0.45E-03  0.96E+00
              3      0.21E-02  0.10E+01  0.43E-03  0.96E+00
              4      0.19E-02  0.96E+00  0.39E-03  0.96E+00
              5      0.18E-02  0.88E+00  0.35E-03  0.97E+00
              6      0.16E-02  0.81E+00  0.32E-03  0.97E+00
              7      0.15E-02  0.74E+00  0.29E-03  0.97E+00
              8      0.14E-02  0.69E+00  0.26E-03  0.97E+00
              9      0.13E-02  0.65E+00  0.23E-03  0.97E+00
             10      0.13E-02  0.61E+00  0.21E-03  0.98E+00
             11      0.12E-02  0.57E+00  0.19E-03  0.98E+00
             12      0.12E-02  0.54E+00  0.17E-03  0.98E+00
             13      0.11E-02  0.52E+00  0.16E-03  0.98E+00
             14      0.11E-02  0.50E+00  0.14E-03  0.98E+00
             15      0.11E-02  0.48E+00  0.13E-03  0.98E+00
             16      0.10E-02  0.47E+00  0.12E-03  0.98E+00
             17      0.10E-02  0.46E+00  0.11E-03  0.98E+00
             18      0.10E-02  0.45E+00  0.99E-04  0.98E+00
             19      0.99E-03  0.44E+00  0.91E-04  0.98E+00

     Power:  0.13074E+07


                         Increment number   9
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.10E-02  0.52E+00  0.74E-04  0.98E+00
              2      0.10E-02  0.44E+00  0.60E-04  0.98E+00
              3      0.10E-02  0.44E+00  0.47E-04  0.98E+00
              4      0.10E-02  0.44E+00  0.46E-04  0.98E+00
              5      0.10E-02  0.44E+00  0.45E-04  0.98E+00
              6      0.10E-02  0.44E+00  0.44E-04  0.98E+00
              7      0.10E-02  0.44E+00  0.44E-04  0.98E+00
              8      0.10E-02  0.44E+00  0.43E-04  0.98E+00
              9      0.10E-02  0.44E+00  0.43E-04  0.98E+00
             10      0.10E-02  0.44E+00  0.43E-04  0.98E+00
             11      0.10E-02  0.44E+00  0.43E-04  0.98E+00
             12      0.10E-02  0.44E+00  0.42E-04  0.98E+00

     Power:  0.14731E+07


                         Increment number  10
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.57E+00  0.38E-04  0.98E+00
              2      0.11E-02  0.49E+00  0.85E-04  0.98E+00
              3      0.11E-02  0.48E+00  0.66E-04  0.98E+00
              4      0.11E-02  0.48E+00  0.61E-04  0.98E+00
              5      0.11E-02  0.48E+00  0.57E-04  0.98E+00
              6      0.11E-02  0.47E+00  0.54E-04  0.98E+00
              7      0.11E-02  0.47E+00  0.52E-04  0.98E+00
              8      0.11E-02  0.47E+00  0.50E-04  0.98E+00
              9      0.11E-02  0.47E+00  0.48E-04  0.98E+00
             10      0.11E-02  0.47E+00  0.47E-04  0.98E+00
             11      0.11E-02  0.46E+00  0.45E-04  0.98E+00
             12      0.11E-02  0.46E+00  0.45E-04  0.98E+00
             13      0.11E-02  0.46E+00  0.44E-04  0.98E+00
             14      0.11E-02  0.46E+00  0.43E-04  0.98E+00
             15      0.11E-02  0.46E+00  0.43E-04  0.98E+00
             16      0.10E-02  0.46E+00  0.43E-04  0.98E+00
             17      0.10E-02  0.46E+00  0.42E-04  0.98E+00
             18      0.10E-02  0.46E+00  0.42E-04  0.98E+00
             19      0.10E-02  0.46E+00  0.42E-04  0.98E+00
             20      0.10E-02  0.46E+00  0.42E-04  0.98E+00

     Power:  0.16388E+07


                         Increment number  11
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.56E+00  0.39E-04  0.98E+00
              2      0.11E-02  0.49E+00  0.54E-04  0.98E+00
              3      0.11E-02  0.48E+00  0.43E-04  0.98E+00
              4      0.11E-02  0.48E+00  0.42E-04  0.98E+00
              5      0.11E-02  0.48E+00  0.42E-04  0.98E+00
              6      0.11E-02  0.48E+00  0.41E-04  0.98E+00
              7      0.11E-02  0.48E+00  0.41E-04  0.98E+00
              8      0.11E-02  0.48E+00  0.41E-04  0.98E+00
              9      0.11E-02  0.48E+00  0.41E-04  0.98E+00
             10      0.11E-02  0.48E+00  0.41E-04  0.98E+00
             11      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             12      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             13      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             14      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             15      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             16      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             17      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             18      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             19      0.11E-02  0.48E+00  0.42E-04  0.98E+00
             20      0.11E-02  0.48E+00  0.42E-04  0.98E+00

     Power:  0.18045E+07


                         Increment number  12
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.11E-02  0.57E+00  0.39E-04  0.98E+00
              2      0.11E-02  0.50E+00  0.52E-04  0.98E+00
              3      0.11E-02  0.50E+00  0.43E-04  0.98E+00
              4      0.11E-02  0.50E+00  0.42E-04  0.98E+00
              5      0.11E-02  0.50E+00  0.42E-04  0.98E+00
              6      0.11E-02  0.50E+00  0.42E-04  0.98E+00
              7      0.11E-02  0.50E+00  0.42E-04  0.98E+00
              8      0.11E-02  0.50E+00  0.42E-04  0.98E+00
              9      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             10      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             11      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             12      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             13      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             14      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             15      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             16      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             17      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             18      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             19      0.11E-02  0.50E+00  0.43E-04  0.98E+00
             20      0.11E-02  0.50E+00  0.43E-04  0.98E+00

     Power:  0.19702E+07


                         Increment number  13
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-02  0.59E+00  0.40E-04  0.98E+00
              2      0.12E-02  0.52E+00  0.53E-04  0.98E+00
              3      0.12E-02  0.52E+00  0.44E-04  0.98E+00
              4      0.12E-02  0.52E+00  0.44E-04  0.98E+00
              5      0.12E-02  0.52E+00  0.44E-04  0.98E+00
              6      0.12E-02  0.52E+00  0.44E-04  0.98E+00
              7      0.12E-02  0.52E+00  0.44E-04  0.98E+00
              8      0.12E-02  0.52E+00  0.44E-04  0.98E+00
              9      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             10      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             11      0.12E-02  0.52E+00  0.44E-04  0.98E+00
             12      0.12E-02  0.52E+00  0.44E-04  0.98E+00
