

                         Increment number   1
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.
             15      0.98E-02  0.87E-01  0.17E-03  0.84E+00
             16      0.95E-02  0.85E-01  0.16E-03  0.84E+00
             17      0.92E-02  0.83E-01  0.16E-03  0.85E+00
             18      0.89E-02  0.81E-01  0.16E-03  0.85E+00
             19      0.86E-02  0.79E-01  0.16E-03  0.85E+00
             20      0.83E-02  0.77E-01  0.16E-03  0.86E+00

     Power:   108.95    


                         Increment number   6
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.18E-01  0.20E+00  0.17E-03  0.73E+00
              2      0.18E-01  0.20E+00  0.19E-03  0.74E+00
              3      0.17E-01  0.19E+00  0.18E-03  0.74E+00
              4      0.17E-01  0.19E+00  0.17E-03  0.75E+00
              5      0.16E-01  0.18E+00  0.16E-03  0.75E+00
              6      0.16E-01  0.17E+00  0.15E-03  0.76E+00
              7      0.15E-01  0.17E+00  0.14E-03  0.77E+00
              8      0.15E-01  0.16E+00  0.13E-03  0.77E+00
              9      0.14E-01  0.16E+00  0.13E-03  0.78E+00
             10      0.14E-01  0.15E+00  0.12E-03  0.78E+00
             11      0.14E-01  0.15E+00  0.11E-03  0.79E+00
             12      0.13E-01  0.14E+00  0.11E-03  0.79E+00
             13      0.13E-01  0.14E+00  0.11E-03  0.80E+00
             14      0.12E-01  0.13E+00  0.11E-03  0.80E+00
             15      0.12E-01  0.13E+00  0.11E-03  0.81E+00
             16      0.12E-01  0.12E+00  0.12E-03  0.81E+00
             17      0.11E-01  0.12E+00  0.14E-03  0.82E+00
             18      0.11E-01  0.12E+00  0.14E-03  0.82E+00
             19      0.11E-01  0.11E+00  0.15E-03  0.83E+00
             20      0.10E-01  0.11E+00  0.15E-03  0.83E+00

     Power:   130.39    


                         Increment number   7
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.15E-01  0.17E+00  0.20E-03  0.76E+00
              2      0.15E-01  0.16E+00  0.18E-03  0.77E+00
              3      0.15E-01  0.16E+00  0.19E-03  0.77E+00
              4      0.14E-01  0.15E+00  0.19E-03  0.78E+00
              5      0.14E-01  0.15E+00  0.20E-03  0.78E+00
              6      0.14E-01  0.14E+00  0.21E-03  0.79E+00
              7      0.13E-01  0.14E+00  0.22E-03  0.79E+00
              8      0.13E-01  0.13E+00  0.23E-03  0.80E+00
              9      0.13E-01  0.13E+00  0.24E-03  0.80E+00
             10      0.12E-01  0.12E+00  0.25E-03  0.80E+00
             11      0.12E-01  0.12E+00  0.26E-03  0.81E+00
             12      0.12E-01  0.11E+00  0.27E-03  0.81E+00
             13      0.11E-01  0.11E+00  0.29E-03  0.82E+00
             14      0.11E-01  0.11E+00  0.30E-03  0.82E+00
             15      0.11E-01  0.10E+00  0.31E-03  0.82E+00
             16      0.10E-01  0.10E+00  0.32E-03  0.83E+00
             17      0.10E-01  0.97E-01  0.34E-03  0.83E+00
             18      0.99E-02  0.94E-01  0.35E-03  0.84E+00
             19      0.96E-02  0.91E-01  0.37E-03  0.84E+00
             20      0.94E-02  0.88E-01  0.38E-03  0.84E+00

     Power:   151.46    


                         Increment number   8
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.12E-01  0.89E-01  0.45E-03  0.81E+00
              2      0.11E-01  0.87E-01  0.48E-03  0.81E+00
              3      0.11E-01  0.85E-01  0.53E-03  0.82E+00
              4      0.11E-01  0.82E-01  0.55E-03  0.82E+00
              5      0.10E-01  0.80E-01  0.57E-03  0.83E+00
              6      0.10E-01  0.78E-01  0.58E-03  0.83E+00
              7      0.99E-02  0.76E-01  0.58E-03  0.83E+00
              8      0.97E-02  0.75E-01  0.59E-03  0.84E+00
              9      0.94E-02  0.73E-01  0.60E-03  0.84E+00
             10      0.92E-02  0.71E-01  0.60E-03  0.85E+00
             11      0.89E-02  0.70E-01  0.59E-03  0.85E+00
             12      0.87E-02  0.68E-01  0.59E-03  0.85E+00
             13      0.85E-02  0.67E-01  0.59E-03  0.86E+00
             14      0.82E-02  0.66E-01  0.58E-03  0.86E+00
             15      0.81E-02  0.64E-01  0.58E-03  0.86E+00
             16      0.79E-02  0.63E-01  0.57E-03  0.86E+00
             17      0.77E-02  0.62E-01  0.56E-03  0.87E+00
             18      0.75E-02  0.61E-01  0.55E-03  0.87E+00
             19      0.73E-02  0.60E-01  0.54E-03  0.87E+00
             20      0.72E-02  0.59E-01  0.53E-03  0.87E+00

     Power:   172.88    


                         Increment number   9
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.90E-02  0.78E-01  0.48E-03  0.85E+00
              2      0.87E-02  0.76E-01  0.55E-03  0.85E+00
              3      0.84E-02  0.74E-01  0.57E-03  0.86E+00
              4      0.82E-02  0.72E-01  0.57E-03  0.86E+00
              5      0.79E-02  0.70E-01  0.58E-03  0.86E+00
              6      0.77E-02  0.69E-01  0.58E-03  0.87E+00
              7      0.75E-02  0.67E-01  0.57E-03  0.87E+00
              8      0.73E-02  0.66E-01  0.57E-03  0.87E+00
              9      0.71E-02  0.64E-01  0.56E-03  0.88E+00
             10      0.69E-02  0.63E-01  0.54E-03  0.88E+00
             11      0.67E-02  0.62E-01  0.53E-03  0.88E+00
             12      0.66E-02  0.61E-01  0.51E-03  0.88E+00
             13      0.64E-02  0.59E-01  0.50E-03  0.89E+00
             14      0.63E-02  0.58E-01  0.48E-03  0.89E+00
             15      0.61E-02  0.57E-01  0.46E-03  0.89E+00
             16      0.60E-02  0.56E-01  0.45E-03  0.89E+00
             17      0.59E-02  0.55E-01  0.43E-03  0.89E+00
             18      0.58E-02  0.54E-01  0.42E-03  0.90E+00
             19      0.57E-02  0.54E-01  0.41E-03  0.90E+00
             20      0.56E-02  0.53E-01  0.39E-03  0.90E+00

     Power:   194.38    


                         Increment number  10
          Iteration  Error(X)  Error(F)  Err(CPI)  Decelrn.

              1      0.70E-02  0.72E-01  0.34E-03  0.88E+00
              2      0.69E-02  0.70E-01  0.53E-03  0.88E+00
              3      0.67E-02  0.68E-01  0.52E-03  0.88E+00
              4      0.65E-02  0.66E-01  0.50E-03  0.89E+00
              5      0.63E-02  0.64E-01  0.49E-03  0.89E+00
